iteration,sign_ns,verify_ns,total_ns
0,203262,33275,236568
1,172655,31782,204471
2,175554,32191,207778
3,184557,31865,216456
4,173684,31771,205486
5,173105,31366,204502
6,161509,31968,193508
7,181737,32246,214015
8,174119,31450,205600
9,171498,31614,203140
10,168920,31677,200621
11,158614,31314,189957
12,173028,31200,204258
13,170678,31515,202219
14,199134,31378,230535
15,285786,31515,317327
16,171556,31723,203296
17,172407,31597,204030
18,283174,32473,315673
19,165432,31569,197029
20,166936,34346,201308
21,162847,31528,194402
22,228267,31679,259974
23,282609,31738,314377
24,159595,31884,191501
25,186345,32305,218678
26,276216,31679,307976
27,173475,31293,204798
28,155674,31418,187121
29,176979,31602,208597
30,325908,32312,358241
31,323280,31713,355014
32,190543,31119,221676
33,284290,30816,315121
34,171050,30791,201856
35,171078,30769,201873
36,172360,30691,203070
37,158556,30891,189468
38,143640,31105,174765
39,150941,31539,182495
40,149672,30557,180257
41,148425,30740,179191
42,151861,30940,182827
43,140227,30897,171150
44,148873,30913,179815
45,149938,31325,181289
46,182694,31256,213969
47,301546,31821,333387
48,184440,31937,216405
49,173106,32800,205932
50,209031,31736,240803
51,187362,36650,224047
52,184315,32930,217278
53,170398,32236,202667
54,237382,31805,269220
55,239258,31753,271042
56,168608,31365,200001
57,160335,31388,191749
58,281450,31698,313176
59,168691,31673,200392
60,163476,31775,195278
61,177322,31555,208905
62,158085,31301,189412
63,162391,31944,194363
64,169367,31159,200562
65,162894,32194,195107
66,217012,31582,248611
67,177807,31857,209683
68,171862,31770,203650
69,174957,31551,206526
70,162203,31253,193477
71,173186,31582,204787
72,170903,31422,202353
73,167038,31480,198553
74,166760,31301,198097
75,208617,31589,240238
76,169662,31517,201210
77,167068,31203,198305
78,195297,31203,226536
79,294924,32279,327235
80,173838,31277,205150
81,167850,31359,199244
82,170819,31173,202025
83,156650,30874,187559
84,169134,31573,200740
85,163485,31584,195097
86,228607,31657,260296
87,278663,31582,310278
88,160276,31506,191815
89,158075,31346,189449
90,265676,31126,296829
91,166511,31440,197979
92,152263,31642,183925
93,174276,31586,205881
94,198896,31369,230283
95,155283,31197,186508
96,165516,31247,196783
97,152817,31185,184022
98,209775,31402,241197
99,166233,31301,197553
100,163413,31351,194782
101,164217,31253,195489
102,158929,31135,190083
103,182680,31220,213919
104,169012,31305,200337
105,165561,31396,196977
106,166305,31257,197580
107,153714,31163,184897
108,174541,31070,205626
109,168576,31367,199958
110,195957,30830,226801
111,278778,31610,310402
112,169970,31402,201386
113,167738,31071,198822
114,154648,31426,186088
115,152216,31262,183499
116,161747,31296,193056
117,158579,31603,190196
118,234660,31684,266357
119,284684,31337,316033
120,154425,31243,185682
121,197563,31368,228944
122,268533,30981,299533
123,165123,31144,196286
124,151841,31165,183027
125,162591,31516,194128
126,201322,31282,232623
127,166302,31720,198041
128,168031,31587,199637
129,153793,31333,185146
130,194633,30820,225474
131,172523,31289,203832
132,165628,30958,196607
133,164266,31456,195742
134,152242,31503,183765
135,167752,31131,198903
136,170601,31502,202121
137,166249,30890,197161
138,162667,30855,193540
139,157653,31216,188889
140,164168,31444,195628
141,169876,31450,201343
142,197701,31037,228756
143,278882,31215,310118
144,165570,30836,196426
145,169860,31346,201227
146,200842,31491,232353
147,154614,31500,186134
