iteration,sign_ns,verify_ns,total_ns
289,243140,32090,275244
290,218354,31783,250153
291,244539,32052,276606
292,225088,32053,257155
293,234709,32054,266777
294,232714,32006,264735
295,349863,31926,381803
296,230953,31954,262919
297,314193,31589,345797
298,265569,31017,296600
299,259212,31235,290462
300,238993,30958,269966
301,235097,31443,266552
302,539331,32393,571737
303,412085,33843,445941
304,477224,33512,510773
305,338346,33490,371873
306,310844,33675,344557
307,422405,33805,456245
308,178536,32126,210697
309,229575,33485,263073
310,180086,32060,212181
311,147249,31532,178801
312,186092,31479,217584
313,139697,35523,175234
314,156769,31581,188366
315,148117,31190,179321
316,174962,31576,206552
317,152252,31468,183741
318,151523,31096,182632
319,141690,31461,173166
320,140255,31118,171387
321,159180,31438,190631
322,141659,31389,173062
323,150875,30768,181658
324,141216,33100,174335
325,153723,31562,185304
326,150401,31629,182050
327,259445,31482,290943
328,150100,31219,181333
329,217619,31370,249003
330,151930,31269,183213
331,177989,31186,209190
332,153108,31424,184546
333,149581,31384,180978
334,139849,31011,170877
335,140463,31346,171823
336,150881,31508,182403
337,149866,31165,181044
338,148973,31375,180362
339,214262,32569,246846
340,157064,30938,188017
341,149867,31463,181343
342,148901,31161,180077
343,137385,31209,168608
344,177443,31561,209016
345,140264,30960,171238
346,151601,31171,182786
347,138727,31022,169764
348,147857,31365,179234
349,149528,31101,180644
350,148655,31595,180264
351,141590,30989,172592
352,137425,30948,168386
353,153266,31031,184312
354,175678,31168,206861
355,148512,31630,180156
356,141276,30927,172215
357,153054,31289,184357
358,150639,31185,181839
359,264197,31530,295741
360,148507,30993,179513
361,217162,31321,248498
362,145029,31350,176392
363,178448,31518,209981
364,151582,31528,183125
365,148437,31336,179788
366,142106,30959,173081
367,139336,31162,170512
368,149336,31631,180981
369,148652,31533,180199
370,148557,31249,179819
371,257849,31920,289783
372,149411,31143,180568
373,151236,31616,182867
374,148077,31206,179299
375,137502,31612,169128
376,177283,32225,209523
377,141797,31591,173401
378,151811,31238,183064
379,141904,31446,173365
380,142730,31225,173969
381,148155,30936,179105
382,151483,31268,182770
383,138668,31131,169814
384,137053,31022,168090
385,151078,31280,182371
386,139200,31223,170438
387,148617,31046,179678
388,142775,31458,174246
389,150759,31483,182257
390,154256,31343,185613
391,264918,32209,297146
392,147086,31042,178147
393,240811,31091,271920
394,141641,31510,173170
395,177893,31235,209141
396,151858,31473,183346
397,149000,30937,179951
398,141222,31423,172658
399,137486,31134,168636
400,149834,31766,181619
401,150165,31392,181571
402,148495,31629,180140
403,274192,31619,305831
404,150390,31200,181604
405,148241,31028,179282
406,150869,30635,181520
407,138138,31289,169448
408,184388,31345,215754
409,138793,31293,170100
410,153336,31474,184824
411,138029,31154,169195
412,141650,31209,172873
413,149471,31190,180676
414,151866,31487,183368
415,136633,31433,168079
416,136614,30998,167629
417,151028,31539,182582
418,178240,31253,209506
419,151910,31402,183328
420,139966,31442,171423
421,150051,31731,181795
422,153374,31584,184972
423,256112,31463,287588
424,151725,31368,183107
425,217348,31604,248967
426,140818,31454,172286
427,175622,31533,207168
428,204428,31622,236066
429,155387,31346,186747
430,138980,31164,170157
431,137569,31473,169057
432,149499,31475,180988
433,148303,31402,179719
434,147618,34612,182245
435,268465,31513,299991
