iteration,sign_ns,verify_ns,total_ns
0,260401,32232,292651
1,287646,32184,319845
2,247858,32073,279946
3,248297,32221,280533
4,255562,32068,287644
5,293615,32077,325706
6,244038,31809,275862
7,241059,32010,273084
8,238035,32000,270051
9,228382,31999,260396
10,227367,32385,259773
11,257278,31886,289179
12,244174,32308,276497
13,247402,32313,279729
14,251499,31369,282883
15,263312,31791,295118
16,257876,32079,289970
17,246776,31936,278727
18,249841,31776,281631
19,247491,32125,279630
20,250962,32043,283019
21,232179,32163,264357
22,276846,32041,308902
23,246626,32326,278973
24,271101,31981,303098
25,250642,32218,282875
26,276011,31895,307921
27,231154,32201,263370
28,226827,32375,259217
29,254750,31934,286699
30,250647,31956,282618
31,243916,31926,275859
32,240648,35964,276627
33,256243,32151,288406
34,246679,32337,279031
35,243508,31894,275416
36,256911,31862,288788
37,284906,32045,316966
38,242664,32671,275347
39,336889,32144,369048
40,235196,32064,267274
41,226455,31965,258435
42,221308,32429,253753
43,249937,31902,281853
44,251064,32248,283327
45,235363,32154,267530
46,247675,32208,279896
47,252137,32170,284321
48,244686,32229,276935
49,237713,31884,269612
50,263688,31938,295640
51,245422,32079,277521
52,261913,32178,294104
53,241562,32381,273957
54,388478,32200,420692
55,238976,31992,270990
56,355632,142612,498260
57,394196,36917,431165
58,264557,32287,296884
59,349218,34344,383588
60,317800,34197,352034
61,738026,34300,772363
62,594009,38282,632326
63,465441,32367,497845
64,416003,32390,448419
65,393648,32390,426056
66,230983,32372,263369
67,199797,31961,231773
68,176522,32600,209138
69,220744,32591,253349
70,164895,32077,196985
71,158807,32569,191389
72,186949,32127,219091
73,156110,32233,188361
74,149905,32336,182256
75,163994,32613,196622
76,162259,32642,194916
77,162842,32690,195546
78,170041,33230,203286
79,168068,32640,200723
80,167500,33433,200947
81,172179,33042,205236
82,182092,33412,215519
83,179163,32603,211780
84,175794,32729,208537
85,216917,34806,251737
86,239414,34216,273649
87,190162,34400,224577
88,208690,32873,241578
89,205533,34648,240195
90,191350,33792,225163
91,211080,32548,243650
92,187974,33650,221637
93,185720,33102,218841
94,210205,34608,244827
95,415595,34598,450208
96,267607,35086,302714
97,368422,34159,402598
98,350136,33439,383590
99,305525,32711,338251
100,288997,32665,321677
101,378131,34916,413068
102,299222,32393,331636
103,272634,41980,314704
104,321364,32905,354284
105,257704,32458,290178
106,261673,32527,294223
107,292118,33091,325230
108,280114,34157,314293
109,285226,32881,318122
110,277298,32208,309521
111,287943,32618,320577
112,273681,32412,306107
113,271913,32942,304874
114,278375,32468,310857
115,267056,32157,299229
116,316698,32495,349208
117,313093,33138,346245
118,276634,32594,309249
119,282002,32286,314304
120,306987,32741,339741
121,281891,31869,313780
122,270525,32015,302561
123,301656,32339,334009
124,289276,32252,321544
125,272017,33386,305423
126,280053,32415,312483
127,257652,32012,289682
128,290283,31733,322030
129,292008,32558,324581
130,281348,32761,314124
131,256837,31799,288651
132,335317,32392,367725
133,358257,32266,390537
134,275658,32119,307791
135,280933,32118,313068
136,292556,32127,324697
137,247216,32188,279419
138,415408,50524,465948
139,341106,32447,373607
140,270277,32155,302467
141,258954,32401,291368
142,247726,32139,279877
143,247541,32115,279671
144,255836,32211,288063
145,249026,32525,281565
146,254062,32365,286442
147,245432,32087,277534
148,276363,32833,309209
149,310134,32473,342620
150,285683,34040,319738
151,286061,34561,320636
152,322733,33433,356180
153,283502,33170,316686
154,275601,34615,310232
155,303142,35166,338324
156,275389,33936,309340
157,366439,36240,402695
158,365814,33244,399072
159,304263,45381,349658
160,312878,34649,347542
161,280418,33239,313670
162,308643,35133,343790
163,287731,33212,320962
164,272551,35416,307982
165,314605,36541,351160
166,276125,33224,309362
167,284887,32754,317734
168,286546,32628,319189
169,264131,33782,297928
170,250545,33401,283963
171,264979,33980,298974
172,273759,33962,307735
173,262885,32841,295740
174,275120,33686,308821
175,273291,33691,306998
176,284332,32880,317227
177,270964,33360,304340
178,281375,34835,316223
179,289090,34346,323448
180,283889,33716,317619
181,313324,36549,349886
182,281573,32531,314119
183,270628,34067,304710
184,412440,33289,445744
185,262444,32323,294781
186,271453,32607,304074
187,289109,32220,321344
188,256149,32778,288942
189,387429,32499,419943
190,279365,34874,314253
191,278394,33297,311706
192,256340,32151,288507
193,255500,32244,287759
194,290477,32643,323135
195,252969,32371,285355
196,259304,33232,292549
197,310763,32525,343303
198,256300,32277,288592
199,278300,32213,310529
200,277889,32125,310029
201,244756,33270,278039
202,246038,32097,278148
203,322427,32531,354975
204,347871,32244,380131
205,264129,32263,296406
206,260806,31852,292672
207,260952,32226,293194
208,268922,32975,301911
209,262294,32374,294682
210,262732,32091,294836
211,252335,31956,284305
212,250861,32205,283081
213,281702,35763,317477
214,248819,32447,281280
215,278051,32211,310275
216,381841,34365,416221
217,253451,32308,285774
218,245662,32162,277839
219,264560,31981,296557
220,231779,32088,263881
221,251010,32373,283398
222,246306,32257,278577
223,247772,32151,279938
224,253791,32160,285966
225,259473,32016,291506
226,265883,32180,298077
227,249916,32159,282088
228,252511,31774,284300
229,285285,31919,317218
230,251868,33887,285771
231,261637,31967,293619
232,286958,31727,318699
233,229361,31825,261200
234,380461,31996,412471
235,310897,32504,343416
236,254269,31706,285990
237,269778,31625,301420
238,258509,31668,290193
239,266336,32113,298463
240,554357,36209,590581
241,375254,33997,409286
242,438622,33890,472548
243,380719,33973,414732
244,393349,34267,427654
245,376351,34491,410879
246,366794,34025,400857
247,289761,32598,322395
248,379200,31968,411187
249,252614,32311,284939
250,327479,33926,361425
251,356303,34154,390492
252,257199,35822,293059
253,256501,32592,289121
254,256255,32315,288585
255,245294,32211,277520
256,313595,32161,345771
257,303328,32164,335507
258,279292,32306,311611
259,321761,32963,354737
260,293907,32674,326594
261,293904,33268,327197
262,253990,32116,286122
263,246616,32631,279262
264,272255,33206,305482
265,232693,35780,268487
266,233319,34018,267350
267,251032,32315,283361
268,244494,32869,277380
269,258045,32518,290578
270,254330,32056,286399
271,248013,33508,281537
272,268931,36228,305176
273,270282,32048,302344
274,252923,33658,286597
275,281182,33494,314690
276,260928,32199,293140
277,280030,33176,313221
278,285911,36676,322602
279,308439,33935,342387
280,401733,33907,435654
281,291669,32188,323870
282,283030,31846,314888
283,295076,33614,328704
284,248885,32191,281092
285,272790,32216,305020
286,284143,34140,318298
287,276852,34111,310978
288,276138,32445,308597
289,260923,32148,293085
290,286613,32061,318689
291,260720,34771,295505
292,260162,32179,292356
293,308927,33054,341996
294,254598,32020,286631
295,272344,33596,305954
296,281871,31577,313502
297,233855,31310,265178
298,251244,32826,284085
299,256315,32301,288630
300,254669,32279,286961
301,250284,31921,282220
302,252033,31158,283206
303,267963,31667,299643
304,251747,32205,283968
305,261471,32270,293757
306,273786,31973,305774
307,251172,31846,283033
308,269052,32596,301663
309,294759,31826,326599
310,253612,32617,286243
311,266370,31971,298356
312,370732,31900,402646
313,251743,30784,282542
314,273186,31492,304693
315,301937,32576,334529
316,233042,31492,264549
317,255826,31787,287627
318,258731,31508,290254
319,245601,31027,276641
320,245792,31370,277176
321,241127,31088,272228
322,283032,30902,313947
323,277140,31418,308573
324,245610,31156,276782
325,294054,31224,325292
326,244300,31899,276214
327,241280,31461,272756
328,267119,32851,299983
329,231286,31345,262643
330,223384,31386,254784
331,250923,31332,282269
332,247561,31375,278952
333,245581,31061,276654
334,235248,31200,266463
335,239985,31590,271589
336,410684,31334,442032
337,276963,31366,308344
338,254754,31567,286334
339,256283,30955,287253
340,243736,31241,274990
341,276034,31348,307394
342,272910,31593,304516
343,276731,31366,308112
344,384669,30733,415418
345,381709,31312,413034
346,394259,31342,425616
347,390191,31567,421773
348,306721,31229,337964
349,255470,31473,286955
350,181240,31331,212585
351,169498,31246,200757
352,174983,31280,206277
353,189016,31534,220565
354,188627,31236,219878
355,161247,30827,192088
356,174079,31385,205482
357,206835,31175,238025
358,163485,31359,194859
359,167493,31447,198955
360,187316,31390,218719
361,169862,31110,200985
362,160806,31249,192068
363,163520,31420,194954
364,173172,31068,204255
365,181163,31422,212600
366,170632,31519,202165
367,171681,31206,202900
368,177588,31777,209378
369,165298,31540,196852
370,306870,34917,341801
371,404190,33401,437626
372,311008,33386,344431
373,386600,33628,420266
374,356887,33442,390366
375,294814,33324,328178
376,230713,32987,263733
377,195426,32294,227742
378,183577,32333,215931
379,171090,36690,207799
380,176639,32170,208836
381,190279,32157,222457
382,178916,32319,211255
383,176623,32138,208784
384,183202,32190,215412
385,180902,32123,213048
386,169351,32197,201568
387,180468,32661,213148
388,177901,32572,210492
389,230791,32625,263435
390,185976,32540,218537
391,183772,32574,216365
392,171571,33039,204629
393,179613,33912,213545
394,180840,33539,214401
395,185277,33910,219203
396,184507,33485,218007
397,203580,32929,236522
398,202456,33520,235990
399,189886,33602,223503
400,196986,33589,230590
401,194079,32715,226809
402,193960,33169,227144
403,204178,34421,238614
404,195431,34255,229701
405,233677,33556,267248
406,237472,33479,270966
407,200201,33485,233703
408,182800,33418,216240
409,206397,34020,240437
410,203210,37575,240809
411,184186,33580,217790
412,180217,33979,214219
413,208543,34136,242698
414,202068,33107,235198
415,199956,34155,234133
416,210896,33427,244353
417,202553,33203,235784
418,186615,33040,219677
419,212141,33847,246009
420,214034,33001,247057
421,254055,34062,288137
422,208244,33213,241477
423,194310,33197,227528
424,185661,33437,219125
425,185209,33226,218455
426,179772,33683,213476
427,213688,46924,260633
428,211286,33861,245175
429,193562,32678,226262
430,192218,33353,225592
431,187670,33689,221381
432,201134,33524,234680
433,191320,33093,224441
434,201247,33777,235050
435,187394,32917,220333
436,262468,33684,296174
437,228943,33592,262561
438,217537,33478,251038
439,186291,33413,219724
440,183748,33113,216884
441,200930,33146,234095
442,185635,33420,219077
443,190537,33193,223749
444,179158,38916,218094
445,192859,33654,226543
446,189092,33345,222456
447,201230,33157,234407
448,184451,33849,218316
449,186172,32992,219180
450,187935,32897,220855
451,185409,33080,218504
452,181230,32724,213968
453,234344,32752,267110
454,183484,33035,216539
455,176727,32783,209536
456,167031,32779,199834
457,168876,32826,201728
458,173209,33106,206341
459,185265,33379,218668
460,181903,33345,215263
461,181041,32973,214028
462,178055,32931,211002
463,191681,33187,224882
464,244930,33890,278832
465,281309,33721,315046
466,358347,33829,392190
467,293144,34072,327237
468,238847,33239,272108
469,316669,33535,350222
470,515282,33816,549122
471,186719,33349,220098
472,171868,32739,204620
473,240883,33392,274291
474,179125,34143,213283
475,169036,32968,202019
476,163969,33103,197086
477,184396,33373,217781
478,177505,32588,210105
479,180621,32890,213526
480,191397,33336,224746
481,186025,32914,218954
482,182803,33492,216309
483,179922,32535,212471
484,181899,32890,214804
485,239831,33039,272886
486,185370,32466,217851
487,176820,32599,209434
488,164800,32869,197684
489,168164,33122,201301
490,162249,36111,198375
491,184353,33303,217673
492,179284,33036,212337
493,187805,33070,220899
494,185498,33113,218626
495,191186,32881,224080
496,198538,33072,231624
497,182309,32876,215200
498,201997,32731,234744
499,182087,32764,214874
500,208385,33057,241464
501,303086,32342,335450
502,190944,33173,224139
503,176090,36433,212546
504,279119,44425,323565
505,216386,32687,249122
506,167845,32335,200199
507,148534,32372,180921
508,157405,32541,189960
509,164401,32295,196713
510,158969,31915,190899
511,159973,32255,192241
512,162891,32110,195014
513,174707,32336,207056
514,151249,31861,183124
515,157637,31807,189458
516,163301,31805,195119
517,205605,32244,237862
518,163114,32338,195467
519,160862,32572,193451
520,192548,32249,224813
521,145415,32022,177450
522,147520,32255,179795
523,165594,32862,198471
524,169396,32187,201597
525,160288,33482,193791
526,162718,32512,195249
527,167446,32330,199793
528,166147,33014,199183
529,166985,32817,199817
530,168698,33033,201752
531,168142,32868,201023
532,160273,32881,193173
533,314907,34189,349108
534,175935,33972,209923
535,168345,32811,201169
536,153289,32642,185943
537,174442,33381,207843
538,173502,32670,206188
539,154125,33053,187193
540,151225,32794,184033
541,178907,33665,212585
542,170605,32711,203329
543,166421,32839,199274
544,171362,34212,205589
545,176980,32760,209759
546,157942,33207,191163
547,168449,33949,202412
548,178455,32848,211319
549,220092,33861,253967
550,162996,33351,196362
551,168026,32829,200869
552,216994,32909,249918
553,152858,32642,185513
554,157596,32895,190505
555,167816,34118,201949
556,162441,32453,194907
557,164379,32313,196707
558,165862,33135,199012
559,167184,33136,200335
560,160875,32373,193268
561,160231,32479,192731
562,176211,32503,208728
563,177893,33373,211279
564,194213,32912,227138
565,283989,33023,317027
566,156594,32046,188656
567,167274,32770,200059
568,155126,32739,187880
569,167062,33258,200333
570,177249,33182,210447
571,159271,33270,192553
572,151329,32556,183904
573,169480,33723,203218
574,161121,33337,194471
575,162640,32380,195041
576,161373,32489,193877
577,161964,31967,193951
578,150992,31843,182854
579,168303,32517,200835
580,166615,32395,199025
581,220874,32539,253428
582,167169,32332,199515
583,158866,31979,190859
584,147779,32294,180085
585,144407,32527,176950
586,147978,35328,183324
587,164125,32980,197122
588,161624,32228,193867
589,156386,32078,188478
590,159191,32649,191854
591,163937,32170,196122
592,164751,32224,196990
593,158383,32244,190640
594,171819,32848,204682
595,162155,32370,194541
596,160090,32066,192172
597,283212,32438,315665
598,148866,31876,180756
599,159755,32226,191996
600,147712,32047,179777
601,163720,34670,198404
602,162221,32257,194492
603,144785,32246,177047
604,148803,31593,180412
605,162606,32270,194890
606,157145,32365,189525
607,170561,31924,202500
608,169342,31834,201190
609,158396,31943,190352
610,148833,32310,181165
611,160479,31649,192148
