iteration,sign_init_ns,sign_ns,verify_ns,total_ns
173,5936,2264293,333968,2604197
174,5935,2564888,303936,2874759
175,8364,2981882,166834,3157080
176,6793,2282278,312611,2601682
177,8475,3054817,306689,3369981
178,9322,2746310,299309,3054941
179,6371,3007477,352523,3366371
180,12262,3418115,379218,3809595
181,9537,4674484,302429,4986450
182,9009,2862923,294851,3166783
183,6444,2842227,310262,3158933
184,6595,2496228,397249,2900072
185,26432,3073967,306537,3406936
186,9129,4059875,342273,4411277
187,10361,2867321,352813,3230495
188,17455,2755397,376426,3149278
189,6364,3127142,346409,3479915
190,8831,3217611,318988,3545430
191,5932,3323909,320922,3650763
192,7468,2952292,334592,3294352
193,19502,2698864,303803,3022169
194,7609,2637379,318037,2963025
195,8677,3369829,322438,3700944
196,17347,3006596,287565,3311508
197,8289,2909357,167120,3084766
198,5548,2115083,164903,2285534
199,5607,2473572,167387,2646566
